id,Sample Code,soilSource,soilRange,soilSite,seedRange,combo,patchType,seedSite,Sample Name,feature count,shannon_r1000,shannon
nat_wash_F48,MF48,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,CAN,350 CAN CAN,47459,7.158913926,7.293187995
nat_wash_F49,MF49,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,TRI,740 TRI CAN ,8435,4.850239832,4.912895272
nat_wash_F50,MF50,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,LEB,596 LEB GRA,38705,6.919693926,6.975910616
nat_wash_F51,MF51,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,CAN,727 CAN CAZ,44777,7.004921848,7.116914192
nat_wash_F52,MF52,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,RB,751 RB CAZ,16159,5.610645007,5.646780208
nat_wash_F53,MF53,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,CAN,721 CAN GRA,10766,5.467990935,5.454509237
nat_wash_F54,MF54,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,GRA,411 GRA CAN,39101,6.880970344,6.892291515
nat_wash_F55,MF55,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,CAN,725 CAN CAN,29364,6.60346671,6.647789247
nat_wash_F56,MF56,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,TRI,437 TRI SAZ,6624,4.428776684,4.451168498
nat_wash_F57,MF57,PSF Experiment Root Wash,Native,CAN,Invaded,natSoil_invSeed,nonYST,GIL,412 GIL CAN,30009,6.394307642,6.460990121
nat_wash_F59,MF59,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,GIL,61 GIL SAZ,17218,5.747480344,5.765560347
nat_wash_F60,MF60,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,GIL,754 GIL GRA,15646,5.477604843,5.488482068
nat_wash_F61,MF61,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,RB,419 RB SAZ,3333,3.691477311,3.768388347
nat_wash_F62,MF62,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,GRA,398 GRA SAZ,34808,6.64068913,6.755751373
nat_wash_F63,MF63,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,RB,432 RB GRA,19684,6.054091923,6.050886542
nat_wash_F65,MF65,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,SAZ,413 SAZ GRA,5718,4.295098489,4.295962633
nat_wash_F66,MF66,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,GRA,330 GRA SAZ,21427,6.026471999,6.04461774
nat_wash_F67,MF67,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,LEB,427 LEB CAZ,40476,6.811942327,6.977635797
nat_wash_F70,MF70,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,GIL,312 GIL Saz,22077,6.203146891,6.224844596
nat_wash_F71,MF71,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,CAZ,73 CAZ CAN,29679,6.606373247,6.60461001
nat_wash_F72,MF72,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,GRA,278 GRA GRA,22346,6.000729839,6.008963137
nat_wash_F73,MF73,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,SAZ,333 !!!!!!!!!!!!!!,9719,4.397856464,4.406466629
nat_wash_F75,MF75,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,LEB,315 LEB SAZ,29577,5.967410863,6.081502115
nat_wash_F76,MF76,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,CAN,37 CAN CAZ ,26285,6.247561892,6.26566818
nat_wash_F77,MF77,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,LEB,317 LEB GRA,23981,5.944786136,6.044066064
nat_wash_F78,MF78,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,GIL,318 GIL CAZ,31119,6.409418316,6.48952683
nat_wash_F80,MF80,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,RB,322 RB GRA,10379,4.898589809,4.940038524
nat_wash_F81,MF81,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,LEB,33 LEB GRA,19915,5.77960724,5.795654323
nat_wash_F82,MF82,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,GRA,36 GRA SAZ ,28313,6.445533766,6.431120583
nat_wash_F84,MF84,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,GRA,35 GRA GRA,9522,4.3653673,4.364569239
nat_wash_F85,MF85,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,LEB,326 LEB CAZ,25675,6.227792332,6.245684257
nat_wash_F86,MF86,PSF Experiment Root Wash,Native,CAZ,Invaded,natSoil_invSeed,nonYST,GIL,406 GIL CAZ,4560,4.212899322,4.208446126
nat_wash_F90,MF90,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,GRA,55 GRA CAZ,16154,5.260900176,5.322459997
